
> javascript@1.0.0 test
> vitest run


 RUN  v1.6.0 /Users/kamalsalah/Desktop/Thesis/finalEvaluation/evaluation/JavaScript

 ✓ Project-Euler/test/Problem013.test.js  (1 test) 2ms
 ✓ Cellular-Automata/test/Elementary.test.js  (23 tests) 6ms
 ✓ Maths/test/DecimalExpansion.test.js  (29 tests) 8ms
 ✓ String/test/CheckAnagram.test.js  (38 tests) 5ms
 ✓ Data-Structures/Linked-List/test/SinglyLinkedList.test.js  (18 tests) 12ms
 ✓ Project-Euler/test/Problem008.test.js  (4 tests) 4ms
 ✓ Data-Structures/Linked-List/test/SinglyCircularLinkedList.test.js  (13 tests) 10ms
 ✓ Maths/test/IsSquareFree.test.js  (2502 tests) 75ms
 ✓ Maths/test/Fibonacci.test.js  (10 tests) 4ms
 ✓ Maths/test/Area.test.js  (21 tests) 7ms
 ✓ Data-Structures/Vectors/test/Vector2.test.js  (11 tests) 3ms
 ✓ Data-Structures/Heap/test/KeyPriorityQueue.test.js  (9 tests) 3ms
 ✓ Sorts/test/BucketSort.test.js  (15 tests) 4ms
 ✓ Recursive/test/FloodFill.test.js  (10 tests) 5ms
 ✓ Sorts/test/CycleSort.test.js  (15 tests) 4ms
 ✓ Sorts/test/CombSort.test.js  (15 tests) 3ms
 ✓ Conversions/test/TemperatureConversion.test.js  (16 tests) 4ms
 ✓ Backtracking/tests/RatInAMaze.test.js  (10 tests) 3ms
 ✓ Data-Structures/Linked-List/test/DoublyLinkedList.test.js  (11 tests) 3ms
 ✓ Data-Structures/Heap/test/BinaryHeap.test.js  (7 tests) 3ms
 ✓ Cache/test/Memoize.test.js  (6 tests) 4ms
 ✓ Data-Structures/Array/test/QuickSelect.test.js  (6 tests) 2ms
 ✓ Conversions/test/TitleCaseConversion.test.js  (12 tests) 6ms
 ✓ Cache/test/LFUCache.test.js  (2 tests) 2ms
 ✓ String/test/ValidateCreditCard.test.js  (6 tests) 3ms
 ✓ Maths/test/Coordinate.test.js  (6 tests) 2ms
 ✓ String/test/CheckPangram.test.js  (12 tests) 5ms
 ✓ Dynamic-Programming/tests/MaxProductOfThree.test.js  (5003 tests) 219ms
 ✓ Maths/test/ArithmeticGeometricMean.test.js  (8 tests) 5ms
 ✓ Project-Euler/test/Problem011.test.js  (1 test) 2ms
 ✓ Data-Structures/Tree/test/AVLTree.test.js  (9 tests) 3ms
 ✓ Conversions/test/ArbitraryBase.test.js  (10 tests) 3ms
 ✓ Maths/test/RowEchelon.test.js  (5 tests) 5ms
 ✓ Conversions/test/RgbHsvConversion.test.js  (2 tests) 2ms
 ✓ Conversions/test/UpperCaseConverstion.test.js  (10 tests) 2ms
 ✓ String/test/CheckExceeding.test.js  (5 tests) 3ms
 ✓ String/test/CountVowels.test.js  (11 tests) 3ms
 ✓ Data-Structures/Array/test/NumberOfLocalMaximumPoints.test.js  (7 tests) 2ms
 ✓ Cache/test/LRUCache.test.js  (3 tests) 3ms
 ✓ Maths/test/FigurateNumber.test.js  (14 tests) 6ms
 ✓ Dynamic-Programming/tests/LongestCommonSubsequence.test.js  (4 tests) 2ms
 ✓ Search/test/Minesweeper.test.js  (5 tests) 2ms
 ✓ Data-Structures/Graph/test/Graph3.test.js  (6 tests) 2ms
 ✓ Conversions/test/LengthConversion.test.js  (9 tests) 3ms
 ✓ Maths/test/FindMinIterator.test.js  (7 tests) 2ms
 ✓ String/test/CountSubstrings.test.js  (7 tests) 4ms
 ✓ Maths/test/FindMaxRecursion.test.js  (5 tests) 2ms
 ✓ Data-Structures/Heap/test/MinPriorityQueue.test.js  (4 tests) 3ms
 ✓ Search/test/UnionFind.test.js  (6 tests) 4ms
 ✓ Trees/test/DepthFirstSearch.test.js  (4 tests) 4ms
 ✓ Search/test/TernarySearch.test.js  (7 tests) 3ms
 ✓ String/test/ReverseString.test.js  (10 tests) 3ms
 ✓ Backtracking/tests/Sudoku.test.js  (3 tests) 10ms
 ✓ Sorts/test/AlphaNumericalSort.test.js  (6 tests) 3ms
 ✓ Graphs/test/BinaryLifting.test.js  (2 tests) 2ms
 ✓ Graphs/test/LCABinaryLifting.test.js  (2 tests) 2ms
 ✓ Maths/test/Polynomial.test.js  (8 tests) 10ms
 ✓ Conversions/test/DateDayDiffernce.test.js  (16 tests) 6ms
 ✓ Maths/test/FindLcm.test.js  (8 tests) 4ms
 ✓ String/test/IsPalindrome.test.js  (5 tests) 3ms
 ✓ Sorts/test/BubbleSort.test.js  (2 tests) 3ms
 ✓ Maths/test/Volume.test.js  (9 tests) 2ms
 ✓ Maths/test/ModularArithmetic.test.js  (8 tests) 18ms
 ✓ Maths/test/Abs.test.js  (7 tests) 5ms
 ✓ Dynamic-Programming/tests/CoinChange.test.js  (7 tests) 4ms
 ✓ Ciphers/test/AffineCipher.test.js  (3 tests) 3ms
 ✓ Maths/test/isPalindromeIntegerNumber.test.js  (6 tests) 2ms
 ✓ Maths/test/BisectionMethod.test.js  (5 tests) 4ms
 ✓ Sorts/test/QuickSortRecursive.test.js  (3 tests) 2ms
 ✓ String/test/CheckWordOcurrence.test.js  (4 tests) 3ms
