
> javascript@1.0.0 test
> vitest run


 RUN  v0.34.6 /Users/kamalsalah/Desktop/Thesis/finalEvaluation/evaluation/JavaScript

 ✓ Dynamic-Programming/tests/MaxProductOfThree.test.js  (5003 tests) 246ms
 ✓ Maths/test/Mandelbrot.test.js  (3 tests) 513ms
 ✓ Project-Euler/test/Problem016.test.js  (3 tests) 124ms
 ✓ Maths/test/IsPronic.test.js  (2501 tests) 156ms
 ✓ Backtracking/tests/GeneratePermutations.test.js  (4 tests) 233ms
 ✓ Backtracking/tests/KnightTour.test.js  (1 test) 1113ms
 ✓ Project-Euler/test/Problem021.test.js  (3 tests) 133ms
 ✓ Project-Euler/test/Problem035.test.js  (4 tests) 156ms
 ✓ Maths/test/IsSquareFree.test.js  (2502 tests) 207ms
 ✓ Maths/test/LinearSieve.test.js  (2 tests) 94ms
 ✓ Project-Euler/test/Problem007.test.js  (4 tests) 19ms
 ✓ Project-Euler/test/Problem025.test.js  (6 tests) 68ms
 ✓ Project-Euler/test/Problem020.test.js  (3 tests) 30ms
 ✓ Conversions/test/LitersToImperialGallons.test.js  (1 test) 4ms
 ✓ Maths/test/SquareRootLogarithmic.test.js  (2 tests) 6ms
 ✓ Maths/test/ShorsAlgorithm.test.js  (10 tests) 2325ms
 ✓ Bit-Manipulation/test/SetBit.test.js  (4 tests) 6ms
 ✓ Bit-Manipulation/test/IsPowerOfTwo.test.js  (5 tests) 4ms
 ✓ Bit-Manipulation/test/LogTwo.test.js  (99 tests) 12ms
 ✓ Data-Structures/Heap/test/KeyPriorityQueue.test.js  (9 tests) 8ms
 ✓ Backtracking/tests/Sudoku.test.js  (3 tests) 11ms
 ✓ Maths/test/LiouvilleFunction.test.js  (102 tests) 16ms
 ✓ Backtracking/tests/NQueens.test.js  (3 tests) 11ms
 ✓ Maths/test/MidpointIntegration.test.js  (3 tests) 13ms
 ✓ Maths/test/MobiusFunction.test.js  (102 tests) 15ms
 ✓ Search/test/TernarySearch.test.js  (7 tests) 10ms
 ✓ Data-Structures/Queue/test/Queue.test.js  (7 tests) 6ms
 ✓ Backtracking/tests/GenerateParentheses.test.js  (1 test) 3ms
 ✓ Maths/test/DecimalExpansion.test.js  (29 tests) 12ms
 ✓ Maths/test/ModularArithmetic.test.js  (8 tests) 18ms
 ✓ String/test/CheckAnagram.test.js  (38 tests) 21ms
 ✓ Conversions/test/RgbHslConversion.test.js  (10 tests) 9ms
 ✓ Project-Euler/test/Problem017.test.js  (5 tests) 6ms
 ✓ Maths/test/Fibonacci.test.js  (10 tests) 8ms
 ✓ String/test/MaxCharacter.test.js  (2 tests) 6ms
 ✓ String/test/ReverseString.test.js  (10 tests) 6ms
 ✓ Maths/test/EulersTotient.test.js  (2 tests) 11ms
 ✓ Conversions/test/UpperCaseConverstion.test.js  (10 tests) 5ms
 ✓ Maths/test/Softmax.test.js  (2 tests) 5ms
 ✓ Recursive/test/Palindrome.test.js  (4 tests) 6ms
 ✓ Cache/test/Memoize.test.js  (6 tests) 5ms
 ✓ Project-Euler/test/Problem023.test.js  (5 tests) 4093ms
 ✓ Dynamic-Programming/tests/KadaneAlgo.test.js  (2 tests) 6ms
 ✓ Graphs/test/PrimMST.test.js  (1 test) 4ms
 ✓ Maths/test/Area.test.js  (21 tests) 31ms
 ✓ Maths/test/ArithmeticGeometricMean.test.js  (8 tests) 12ms
 ✓ Maths/test/IsDivisible.test.js  (20 tests) 13ms
 ✓ String/test/ValidateCreditCard.test.js  (6 tests) 7ms
 ✓ Maths/test/PiApproximationMonteCarlo.test.js  (1 test) 21ms
 ✓ Backtracking/tests/RatInAMaze.test.js  (10 tests) 7ms
 ✓ Data-Structures/Linked-List/test/SinglyLinkedList.test.js  (18 tests) 13ms
 ✓ Cellular-Automata/test/Elementary.test.js  (23 tests) 12ms
 ✓ Maths/test/ExtendedEuclideanGCD.test.js  (3 tests) 7ms
 ✓ Project-Euler/test/Problem008.test.js  (4 tests) 7ms
 ✓ Maths/test/FigurateNumber.test.js  (14 tests) 5ms
 ✓ Maths/test/Polynomial.test.js  (8 tests) 6ms
 ✓ Project-Euler/test/Problem012.test.js  (1 test) 4972ms
 ✓ Sorts/test/BogoSort.test.js  (5 tests) 9ms
 ✓ Sorts/test/CombSort.test.js  (15 tests) 8ms
 ✓ Sorts/test/RadixSort.test.js  (3 tests) 10ms
 ✓ String/test/IsPalindrome.test.js  (5 tests) 6ms
 ✓ Data-Structures/Linked-List/test/MergeTwoSortedLinkedLists.test.js  (3 tests) 8ms
 ✓ Data-Structures/Tree/test/AVLTree.test.js  (9 tests) 8ms
 ✓ Cache/test/LRUCache.test.js  (3 tests) 6ms
 ✓ Project-Euler/test/Problem011.test.js  (1 test) 7ms
 ✓ Ciphers/test/AffineCipher.test.js  (3 tests) 7ms
 ✓ Maths/test/AutomorphicNumber.test.js  (10 tests) 6ms
 ✓ Maths/test/Factorial.test.js  (4 tests) 5ms
 ✓ Maths/test/BInaryConvert.test.js  (6 tests) 7ms
 ✓ Sorts/test/AlphaNumericalSort.test.js  (6 tests) 6ms
 ✓ Maths/test/RowEchelon.test.js  (5 tests) 11ms
 ✓ Maths/test/ZellersCongruenceAlgorithm.test.js  (5 tests) 6ms
 ✓ Sorts/test/BinaryInsertionSort.test.js  (1 test) 3ms
 ✓ Sorts/test/BucketSort.test.js  (15 tests) 12ms
 ✓ Sorts/test/CycleSort.test.js  (15 tests) 7ms
 ✓ String/test/PermutateString.test.js  (4 tests) 7ms
 ✓ String/test/PatternMatching.test.js  (4 tests) 6ms
 ✓ String/test/CheckPangram.test.js  (12 tests) 7ms
 ✓ Data-Structures/Linked-List/test/SinglyCircularLinkedList.test.js  (13 tests) 9ms
 ✓ Data-Structures/Vectors/test/Vector2.test.js  (11 tests) 7ms
 ✓ Conversions/test/TemperatureConversion.test.js  (16 tests) 11ms
