
> javascript@1.0.0 test
> vitest run


 RUN  v0.34.6 /Users/kamalsalah/Desktop/Thesis/finalEvaluation/evaluation/JavaScript

 ✓ Backtracking/tests/GeneratePermutations.test.js  (4 tests) 167ms
 ✓ Maths/test/Mandelbrot.test.js  (3 tests) 372ms
 ✓ Maths/test/IsSquareFree.test.js  (2502 tests) 135ms
 ✓ Maths/test/ShorsAlgorithm.test.js  (10 tests) 758ms
 ✓ Maths/test/IsPronic.test.js  (2501 tests) 169ms
 ✓ Backtracking/tests/KnightTour.test.js  (1 test) 1078ms
 ✓ Dynamic-Programming/tests/MaxProductOfThree.test.js  (5003 tests) 313ms
 ✓ Project-Euler/test/Problem021.test.js  (3 tests) 160ms
 ✓ Project-Euler/test/Problem016.test.js  (3 tests) 201ms
 ✓ Maths/test/LinearSieve.test.js  (2 tests) 88ms
 ✓ Conversions/test/LengthConversion.test.js  (9 tests) 5ms
 ✓ Project-Euler/test/Problem025.test.js  (6 tests) 53ms
 ✓ Maths/test/IsEven.test.js  (4 tests) 5ms
 ✓ Project-Euler/test/Problem035.test.js  (4 tests) 118ms
 ✓ Sorts/test/CombSort.test.js  (15 tests) 9ms
 ✓ Dynamic-Programming/tests/ZeroOneKnapsack.test.js  (3 tests) 4ms
 ✓ Maths/test/FindHcf.test.js  (4 tests) 4ms
 ✓ Project-Euler/test/Problem020.test.js  (3 tests) 42ms
 ✓ Maths/test/MidpointIntegration.test.js  (3 tests) 17ms
 ✓ Maths/test/LiouvilleFunction.test.js  (102 tests) 19ms
 ✓ Sorts/test/ShellSort.test.js  (4 tests) 4ms
 ✓ Data-Structures/Linked-List/test/SinglyCircularLinkedList.test.js  (13 tests) 8ms
 ✓ String/test/CheckSnakeCase.test.js  (3 tests) 4ms
 ✓ Maths/test/Palindrome.test.js  (8 tests) 6ms
 ✓ String/test/CheckKebabCase.test.js  (2 tests) 4ms
 ✓ Cellular-Automata/test/Elementary.test.js  (23 tests) 9ms
 ✓ String/test/PercentageOfLetters.test.js  (3 tests) 5ms
 ✓ Backtracking/tests/NQueens.test.js  (3 tests) 17ms
 ✓ Backtracking/tests/Sudoku.test.js  (3 tests) 20ms
 ✓ Bit-Manipulation/test/LogTwo.test.js  (99 tests) 23ms
 ✓ Cache/test/LFUCache.test.js  (2 tests) 6ms
 ✓ Maths/test/Area.test.js  (21 tests) 10ms
 ✓ Project-Euler/test/Problem007.test.js  (4 tests) 49ms
 ✓ Maths/test/MobiusFunction.test.js  (102 tests) 16ms
 ✓ String/test/ReverseString.test.js  (10 tests) 13ms
 ✓ Conversions/test/RomanToDecimal.test.js  (3 tests) 4ms
 ✓ Maths/test/PiApproximationMonteCarlo.test.js  (1 test) 10ms
 ✓ Maths/test/HexagonalNumber.test.js  (24 tests) 7ms
 ✓ Conversions/test/BinaryToDecimal.test.js  (3 tests) 6ms
 ✓ Project-Euler/test/Problem011.test.js  (1 test) 8ms
 ✓ Maths/test/DecimalExpansion.test.js  (29 tests) 15ms
 ✓ Maths/test/FindMaxRecursion.test.js  (5 tests) 4ms
 ✓ String/test/CheckAnagram.test.js  (38 tests) 14ms
 ✓ Bit-Manipulation/test/IsPowerOfFour.test.js  (6 tests) 5ms
 ✓ Data-Structures/Stack/test/EvaluateExpression.test.js  (3 tests) 6ms
